,City,City Id,Max Temp,Humidity,Wind Speed,Cloudiness,Latitude,Longitude,Country,Date
296,Yar,469017,276.39,97,6.18,100,58.249,52.1026,RU,1636425793
297,Comodoro Rivadavia,3860443,284.07,76,3.6,0,-45.8667,-67.5,AR,1636425793
298,Praia da Vitória,3372760,289.29,94,3.74,75,38.7333,-27.0667,PT,1636425794
299,Half Moon Bay,5354943,289.77,51,0.89,90,37.4636,-122.4286,US,1636425794
300,Saint-Pierre,935214,296.95,66,2.06,0,-21.3393,55.4781,RE,1636425794
301,Presidencia Roque Sáenz Peña,3840300,293.6,76,0.99,2,-26.7852,-60.4388,AR,1636425795
302,Indianola,4861719,288.96,56,4.27,90,41.3581,-93.5574,US,1636425714
303,Tilichiki,2120591,267.5,92,2.25,100,60.4667,166.1,RU,1636425795
304,Laas,3175096,275.64,56,0.59,6,46.6166,10.7002,IT,1636425795
305,Mount Gambier,2156643,288.1,77,5.66,90,-37.8333,140.7667,AU,1636425796
306,Aloleng,1731298,303.68,63,4.44,100,16.1307,119.7824,PH,1636425796
307,Araouane,2460954,293.96,21,5.88,69,18.9048,-3.5265,ML,1636425796
308,Oranjestad,3577154,301.12,78,6.69,20,12.524,-70.027,AW,1636425682
309,Jinchang,1805733,274.26,17,0.82,0,38.4953,102.1739,CN,1636425797
310,Ahipara,2194098,293.15,64,1.41,19,-35.1667,173.1667,NZ,1636425797
311,Yuancheng,1786110,273.47,29,6.81,0,36.652,107.7896,CN,1636425798
312,Weihe,7372400,282.44,22,1.51,97,32.9952,105.3247,CN,1636425798
313,The Valley,3573374,299.87,71,3.9,10,18.217,-63.0578,AI,1636425504
314,Wanning,1791779,294.99,72,6.82,97,18.8003,110.3967,CN,1636425799
315,Wakefield,3333212,286.39,77,4.13,37,53.6809,-1.499,GB,1636425799
316,Kiama,2161515,297.59,69,3.62,89,-34.6833,150.8667,AU,1636425799
317,Sørland,3137469,277.6,59,9.49,100,67.667,12.6934,NO,1636425800
318,Upernavik,3418910,260.89,82,2.79,79,72.7868,-56.1549,GL,1636425800
319,Flin Flon,5954718,272.89,70,3.29,95,54.7682,-101.865,CA,1636425800
320,Gobabis,3357247,286.17,24,4.68,0,-22.45,18.9667,NA,1636425801
321,Atbasar,1526038,271.83,46,4.29,81,51.8,68.3333,KZ,1636425675
322,Loandjili,2258378,300.21,83,4.12,75,-4.7561,11.8578,CG,1636425801
323,Lagoa,3372964,290.08,91,2.94,100,39.05,-27.9833,PT,1636425801
